Neighbourhood,Neighbourhood Id,Arsons,Assaults,Break & Enters,Drug Arrests,Fire Medical Calls,Fire Vehicle Incidents,Fires & Fire Alarms,Hazardous Incidents,Murders,Robberies,Sexual Assaults,Thefts,Total Major Crime Incidents,Vehicle Thefts
Willowdale West,37,2,85,23,18,345,13,87,73,0,19,9,4,168,10
Lansing-Westgate,38,0,70,46,13,432,114,159,97,0,10,19,4,186,24
Bedford Park-Nortown,39,2,71,219,4,895,162,323,192,1,16,4,18,375,42
St.Andrew-Windfields,40,0,63,112,5,502,200,249,108,0,12,10,7,235,26
Bridle Path-Sunnybrook-York Mills,41,0,16,50,2,305,32,290,92,0,11,10,4,104,11
Banbury-Don Mills,42,1,97,88,21,908,149,299,131,0,10,17,23,279,23
Victoria Village,43,0,107,48,14,392,59,154,62,2,17,6,9,221,18
Flemingdon Park,44,3,159,54,35,640,113,225,90,0,40,23,30,354,13
Parkwoods-Donalda,45,1,177,106,34,895,233,254,151,0,51,10,4,423,41
Pleasant View,46,0,44,23,13,296,68,86,39,0,25,9,3,127,10
Don Valley Village,47,1,174,123,34,636,96,177,102,0,40,18,10,449,50
Hillcrest Village,48,0,50,63,9,395,108,139,52,0,16,13,6,184,27
Bayview Woods-Steeles,49,0,25,36,4,388,29,128,52,0,5,10,1,96,15
Newtonbrook East,50,0,114,116,5,822,122,190,79,1,11,10,3,275,15
Willowdale East,51,0,201,160,18,990,145,504,191,0,36,23,10,485,37
Bayview Village,52,1,42,37,10,481,81,147,96,0,16,3,6,132,18
Henry Farm,53,0,39,54,14,237,136,97,49,0,10,5,2,134,10
O'Connor-Parkview,54,0,264,43,34,603,47,205,125,0,25,21,7,409,15
Thorncliffe Park,55,2,130,25,30,609,41,227,87,0,17,8,4,253,39
Leaside-Bennington,56,0,40,63,5,326,59,150,132,0,32,6,8,178,24
Broadview North,57,1,106,24,20,302,66,102,64,0,9,15,3,186,9
Old East York,58,0,55,31,22,306,98,73,64,0,11,3,4,134,8
Danforth-East York,59,0,82,41,14,378,24,110,93,0,5,4,2,156,8
Woodbine-Lumsden,60,1,60,12,4,216,23,66,53,0,10,6,2,101,7
Taylor-Massey,61,1,187,51,28,523,18,212,89,1,28,19,7,343,22
East End-Danforth,62,1,252,102,46,866,66,277,146,0,39,15,4,468,10
The Beaches,63,0,114,119,12,369,23,165,162,0,11,14,7,292,15
Woodbine Corridor,64,2,139,47,23,445,30,125,95,1,13,11,1,239,4
Greenwood-Coxwell,65,2,183,96,30,461,40,148,98,0,42,18,2,392,21
Danforth,66,1,121,49,34,491,59,119,72,1,29,12,3,262,13
Playter Estates-Danforth,67,2,62,33,17,363,47,104,45,0,18,9,4,146,3
North Riverdale,68,0,227,79,27,624,46,129,75,0,40,19,0,402,10
Blake-Jones,69,2,108,46,25,213,3,93,43,0,16,12,1,221,13
South Riverdale,70,2,276,182,89,895,199,367,231,1,47,21,9,660,35
Cabbagetown-South St.James Town,71,1,84,76,39,668,66,369,100,0,32,10,0,253,12
Regent Park,72,1,116,36,55,413,51,212,130,1,18,13,1,259,19
Moss Park,73,6,371,116,302,1824,111,805,215,0,64,36,5,921,27
North St.James Town,74,0,123,97,38,692,36,366,152,0,28,9,16,326,15
Church-Yonge Corridor,75,2,535,143,99,2631,181,1110,257,1,124,60,13,1006,31
Bay Street Corridor,76,2,554,129,108,2027,189,1203,179,0,124,47,29,1017,26
Waterfront Communities-The Island,77,6,892,139,148,2115,382,1107,272,1,94,41,17,1393,61
Kensington-Chinatown,78,3,369,166,197,1568,134,494,146,1,68,25,14,869,29
University,79,1,131,53,54,544,78,296,72,0,30,21,1,296,6
Palmerston-Little Italy,80,1,123,57,25,395,67,149,99,0,18,18,4,261,16
Trinity-Bellwoods,81,1,165,67,62,757,83,234,135,1,23,19,2,361,22
Niagara,82,0,241,46,64,598,103,401,124,0,16,25,8,417,17
Dufferin Grove,83,0,146,75,41,323,43,119,81,0,42,19,10,348,15
Little Portugal,84,0,137,77,37,444,27,129,70,0,16,12,7,296,10
South Parkdale,85,2,333,64,140,1056,158,491,168,1,42,16,9,634,29
Roncesvalles,86,1,192,75,74,782,77,264,134,0,18,13,4,386,10
High Park-Swansea,87,0,103,59,19,522,59,251,113,0,17,6,2,232,26
High Park North,88,3,125,106,29,744,53,225,101,0,26,8,1,309,14
Runnymede-Bloor West Village,89,1,69,42,8,311,20,83,75,0,17,3,5,165,21
Junction Area,90,2,143,57,40,501,83,199,111,0,15,14,3,304,32
Weston-Pellam Park,91,0,125,44,58,353,22,128,64,0,17,26,7,300,23
Corso Italia-Davenport,92,1,127,50,21,458,66,102,81,0,31,15,2,264,18
Dovercourt-Wallace Emerson-Juncti,93,0,275,162,127,1145,99,403,228,1,53,55,8,743,62
Wychwood,94,1,91,58,15,507,56,140,96,0,23,13,5,220,15
Annex,95,2,272,155,33,1526,161,777,257,1,38,46,20,604,39
Casa Loma,96,1,33,41,3,444,55,236,81,0,4,2,4,91,4
Yonge-St.Clair,97,0,27,62,0,312,28,175,67,0,3,5,6,111,8
Rosedale-Moore Park,98,0,85,82,9,972,130,578,222,0,20,12,9,237,20
Mount Pleasant East,99,1,51,52,9,405,52,150,99,0,6,5,5,135,7
Yonge-Eglinton,100,0,69,60,43,307,34,147,115,0,33,9,1,229,14
Forest Hill South,101,0,19,58,0,252,22,199,83,0,4,1,7,92,3
Forest Hill North,102,0,48,57,4,488,61,165,105,0,22,14,4,155,6
Lawrence Park South,103,0,30,109,8,214,32,228,149,0,9,5,4,191,26
Mount Pleasant West,104,0,164,93,24,957,54,376,142,0,35,19,2,355,18
Lawrence Park North,105,1,33,56,2,290,28,104,138,0,13,4,6,141,27
Humewood-Cedarvale,106,0,72,26,18,273,6,119,94,0,4,5,4,139,10
Oakwood Village,107,1,165,56,37,622,40,141,117,0,18,14,1,307,16
Briar Hill-Belgravia,108,1,115,36,33,539,46,133,106,1,25,17,3,259,29
Caledonia-Fairbank,109,0,94,28,16,250,15,45,28,0,6,17,1,170,8
Keelesdale-Eglinton West,110,0,125,58,24,340,32,89,58,0,39,15,1,283,21
Rockcliffe-Smythe,111,2,182,68,50,795,62,195,112,0,31,29,5,404,39
Beechborough-Greenbrook,112,2,116,26,38,347,46,147,47,1,19,12,4,222,6
Weston,113,0,278,45,89,683,47,336,138,1,66,35,8,554,32
Lambton Baby Point,114,1,28,20,8,207,9,59,49,2,12,2,1,81,8
Mount Dennis,115,0,135,53,48,445,53,220,61,1,33,16,2,302,14
Steeles,116,2,51,82,5,330,48,95,45,0,26,7,4,205,30
L'Amoreaux,117,1,116,112,35,944,116,307,118,1,67,8,7,367,21
Tam O'Shanter-Sullivan,118,4,112,81,27,711,111,276,97,0,37,18,5,292,12
Wexford/Maryvale,119,2,307,132,60,1073,192,271,165,0,49,23,8,620,41
Clairlea-Birchmount,120,3,285,116,38,1190,102,296,156,2,44,24,8,583,66
Oakridge,121,4,169,91,55,498,50,188,97,0,30,13,4,376,14
Birchcliffe-Cliffside,122,2,208,105,26,771,70,276,132,0,39,4,9,411,20
Cliffcrest,123,1,131,44,30,478,40,161,125,0,59,14,4,289,7
Kennedy Park,124,0,225,78,48,805,97,280,105,0,59,20,8,461,23
Ionview,125,0,81,32,17,402,27,84,45,1,14,17,0,173,11
Dorset Park,126,2,179,88,39,708,131,230,110,0,56,20,7,419,30
Bendale,127,1,232,93,51,960,174,264,129,0,65,25,10,546,70
Agincourt South-Malvern West,128,2,141,110,20,558,125,233,66,0,44,24,5,380,36
Agincourt North,129,0,74,105,20,413,89,130,60,0,54,6,4,296,33
Milliken,130,2,79,124,5,425,89,183,43,0,32,3,15,325,67
Rouge,131,2,170,134,33,838,220,296,179,0,62,30,14,534,91
Malvern,132,2,319,118,81,979,174,283,161,2,118,37,3,729,51
Centennial Scarborough,133,1,50,27,2,243,43,52,52,0,9,4,2,107,13
Highland Creek,134,0,70,80,11,290,91,99,48,0,19,9,1,207,17
Morningside,135,4,161,47,24,457,61,216,99,0,51,27,1,330,19
West Hill,136,3,387,102,87,1145,78,338,142,1,71,52,3,749,46
Woburn,137,2,412,128,77,1469,219,504,223,3,107,29,7,808,45
Eglinton East,138,0,239,88,48,720,76,223,111,1,66,17,10,492,23
Scarborough Village,139,1,226,93,31,652,35,180,94,1,62,31,3,474,27
Guildwood,140,0,44,32,9,284,24,48,48,0,14,7,2,113,5
